dataset,fixed_accuracy,labeled_ratio,distribution,alpha_dir,ppi_ci_lower,ppi_ci_upper,mean_cpp_lower,mean_cpp_upper
salary,0.5,0.1,IID,None,87.54070814162833,100.96329265853171,87.9255851170234,100.96329265853171
salary,0.5,0.2,IID,None,93.0252050410082,100.96329265853171,93.3619723944789,100.96329265853171
salary,0.5,0.3,IID,None,93.50630126025206,100.96329265853171,93.50630126025206,100.96329265853171
salary,0.5,0.4,IID,None,93.50630126025206,99.95299059811963,93.50630126025206,99.95299059811963
salary,0.5,0.5,IID,None,94.0355071014203,99.95299059811963,94.0355071014203,99.95299059811963
