dataset,fixed_accuracy,labeled_ratio,distribution,alpha_dir,ppi_ci_lower,ppi_ci_upper,mean_cpp_lower,mean_cpp_upper
alphafold,0.5,0.1,IID,None,1.693188673724409,3.8897271488164296,1.618894047194998,3.809346314173497
alphafold,0.5,0.2,IID,None,1.749681769614498,3.0963260863566977,1.742634356183199,3.0981507606089256
alphafold,0.5,0.3,IID,None,1.7241941014664683,2.730407993495157,1.719797892895427,2.7310179240361645
alphafold,0.5,0.4,IID,None,1.7931142499675012,2.6819736105989946,1.7760598925127853,2.660610947364133
alphafold,0.5,0.5,IID,None,1.8123853135522379,2.583978823524416,1.8054983410435739,2.5793864675878573
