dataset,fixed_accuracy,labeled_ratio,distribution,alpha_dir,ppi_ci_lower,ppi_ci_upper,mean_cpp_lower,mean_cpp_upper
diabetes-bmi,0.5,0.1,IID,None,0.0003466063709132507,0.0011599095540998118,0.00034946129716011354,0.0011570639020137153
diabetes-bmi,0.5,0.2,IID,None,0.00044262983587645556,0.001013688592347405,0.0004437369022097864,0.0010125829079788995
diabetes-bmi,0.5,0.3,IID,None,0.0005080336387923366,0.0009777618095526425,0.0005083674710595401,0.0009774417294812511
diabetes-bmi,0.5,0.4,IID,None,0.0005166871349240084,0.0009189442698839423,0.0005169726351345752,0.0009186434844319523
diabetes-bmi,0.5,0.5,IID,None,0.0005044973526387307,0.0008643706483170764,0.0005047304594485921,0.0008641223722038877
