dataset,fixed_accuracy,labeled_ratio,distribution,alpha_dir,ppi_ci_lower,ppi_ci_upper,mean_cpp_lower,mean_cpp_upper
diabetes-hypertension,0.5,0.1,IID,None,0.08672141219153309,0.19477101319012122,0.0871919844015415,0.20295809586549754
diabetes-hypertension,0.5,0.2,IID,None,0.11988739769978568,0.19802370704193356,0.15351669518756253,0.23409922257357438
diabetes-hypertension,0.5,0.3,IID,None,0.12457765809100967,0.18825227140679335,0.13152091152166556,0.19635935637528168
diabetes-hypertension,0.5,0.4,IID,None,0.13051567485063864,0.1860156144818979,0.1315939770538685,0.18748400778077778
diabetes-hypertension,0.5,0.5,IID,None,0.13545483192364566,0.18514646167925103,0.12431834981309461,0.17410025220347317
