dataset,target_accuracy,distribution,alpha_dir,ppi_ci_lower,ppi_ci_upper,mean_cpp_lower,mean_cpp_upper
water_potability,0.1,Non-IID,1.0,0.3569165880014915,0.4083034262524877,0.3445614257367906,0.3930462761388197
water_potability,0.1,Non-IID,0.1,0.36185208517103107,0.4131972729310177,0.36037420503434753,0.3981799603968184
water_potability,0.1,Non-IID,0.01,0.35512212535356935,0.4049895979358842,0.3530202817835405,0.38528031667363316
water_potability,0.2,Non-IID,1.0,0.357204630890354,0.4089521458350735,0.3503233901256426,0.39885511482525615
water_potability,0.2,Non-IID,0.1,0.3628816745288108,0.415196761535489,0.36212140022574457,0.4001615458241816
water_potability,0.2,Non-IID,0.01,0.35538912984707965,0.40625442444255705,0.35641576624784366,0.389215834507705
water_potability,0.3,Non-IID,1.0,0.3551863456613162,0.40700449004314815,0.3486261046488486,0.39755403395758326
water_potability,0.3,Non-IID,0.1,0.3624354772657093,0.41483909091358645,0.362109371809113,0.40003027358324733
water_potability,0.3,Non-IID,0.01,0.3513543657282555,0.4022400127807545,0.3527073967126238,0.3856001651628403
water_potability,0.4,Non-IID,1.0,0.3549064291428742,0.4064053749079365,0.34894341344262253,0.397386677564535
water_potability,0.4,Non-IID,0.1,0.3664445387277985,0.4185101973224896,0.3657079661284412,0.4033264821760629
water_potability,0.4,Non-IID,0.01,0.35224563162106126,0.403255776285918,0.35294800546252164,0.3863210156450662
water_potability,0.5,Non-IID,1.0,0.35496172269242143,0.4059147998203232,0.34588116791260753,0.3942481990965165
water_potability,0.5,Non-IID,0.1,0.36584069849136297,0.417081506609195,0.36842504650459346,0.405108782705254
water_potability,0.5,Non-IID,0.01,0.35387716912437484,0.4048962436909296,0.3517382623283148,0.38507265698273035
water_potability,0.6,Non-IID,1.0,0.35642737901384175,0.4062940373061971,0.3436875867455895,0.391101737878617
water_potability,0.6,Non-IID,0.1,0.3644522872192178,0.4148595229802751,0.3665565406913295,0.4031762499200394
water_potability,0.6,Non-IID,0.01,0.3549706982478177,0.4052263587367698,0.35111371853006745,0.38425976565463016
water_potability,0.7,Non-IID,1.0,0.35699298131990903,0.4056867722838678,0.34638022224554604,0.39230420211072453
water_potability,0.7,Non-IID,0.1,0.36755581992299474,0.41643594232773057,0.3692733778327547,0.4046038050525095
water_potability,0.7,Non-IID,0.01,0.35887131829389246,0.4074144961352946,0.34907522839597394,0.3817067895313325
water_potability,0.8,Non-IID,1.0,0.35687300138352307,0.40260858807831024,0.3448178781085588,0.3884318163362067
water_potability,0.8,Non-IID,0.1,0.37004466247206785,0.4155460961267741,0.3693551528707459,0.4032797521524181
water_potability,0.8,Non-IID,0.01,0.35820652625224836,0.40410310111382197,0.34861539553091764,0.3802056017529994
water_potability,0.9,Non-IID,1.0,0.3612147721158709,0.40283339580722705,0.3427673813535091,0.38287734367221676
water_potability,0.9,Non-IID,0.1,0.3683339457758139,0.40920864167012205,0.35937129259326034,0.39091777157649427
water_potability,0.9,Non-IID,0.01,0.360727973939456,0.40242387472021657,0.3462816748650636,0.3758370755320571
water_potability,1.0,Non-IID,1.0,0.37329900232439905,0.4025996578024854,0.3419682182050221,0.3720517214323834
water_potability,1.0,Non-IID,0.1,0.376203136825502,0.40553589311999916,0.3545068682645656,0.3792126951477562
water_potability,1.0,Non-IID,0.01,0.37467665268941386,0.4039748283123179,0.35276366896963385,0.37494596127805757
