dataset,target_accuracy,distribution,alpha_dir,ppi_ci_lower,ppi_ci_upper,mean_cpp_lower,mean_cpp_upper
water_potability,0.1,IID,None,0.35393216962769786,0.40545421038234214,0.3491294045717931,0.4010650484953465
water_potability,0.2,IID,None,0.3560352785788352,0.40796061084747126,0.35214381681214063,0.40504351216668694
water_potability,0.3,IID,None,0.3575512789304956,0.4097059960933201,0.3543598496887783,0.40752271862287404
water_potability,0.4,IID,None,0.3540937395981636,0.4062266978318929,0.3516415153213543,0.4047087842451333
water_potability,0.5,IID,None,0.35950772682863263,0.4114433030071256,0.3584739880278579,0.41153982579856574
water_potability,0.6,IID,None,0.35887456406667106,0.40964913251945734,0.3570204440776781,0.4091290953528617
water_potability,0.7,IID,None,0.36078608687408437,0.4099159071721897,0.35807679709293894,0.4087163899084927
water_potability,0.8,IID,None,0.3615294623129095,0.4075341554641536,0.36007654494627445,0.40787385338181864
water_potability,0.9,IID,None,0.3692233918159463,0.4102798064270916,0.3684225481337313,0.41138909993639816
water_potability,1.0,IID,None,0.37311220299817005,0.40240345925954923,0.3707421454550218,0.40304030779268973
